date,ticker,Open,High,Low,Close,Adj Close,Volume
2019-01-11,BBRI.JK,3418.122802734375,3427.213623046875,3363.578369140625,3390.8505859375,2189.071044921875,118649479.0
2019-01-14,BBRI.JK,3390.8505859375,3445.39501953125,3390.8505859375,3445.39501953125,2224.2841796875,126576436.0
2019-01-15,BBRI.JK,3427.213623046875,3445.39501953125,3399.941162109375,3436.30419921875,2218.415283203125,154948896.0
2019-01-16,BBRI.JK,3445.39501953125,3454.48583984375,3418.122802734375,3436.30419921875,2218.415283203125,114151831.0
2019-01-17,BBRI.JK,3445.39501953125,3490.848876953125,3436.30419921875,3463.576416015625,2236.021240234375,131847617.0
2019-01-18,BBRI.JK,3499.939453125,3499.939453125,3445.39501953125,3472.667236328125,2241.89013671875,105708085.0
2019-01-21,BBRI.JK,3454.48583984375,3481.758056640625,3454.48583984375,3454.48583984375,2230.152587890625,89020137.0
2019-01-22,BBRI.JK,3427.213623046875,3445.39501953125,3399.941162109375,3427.213623046875,2212.54638671875,131658634.0
2019-01-23,BBRI.JK,3418.122802734375,3463.576416015625,3390.8505859375,3427.213623046875,2212.54638671875,179807675.0
2019-01-24,BBRI.JK,3409.031982421875,3463.576416015625,3409.031982421875,3445.39501953125,2224.2841796875,193786497.0
2019-01-25,BBRI.JK,3472.667236328125,3472.667236328125,3436.30419921875,3436.30419921875,2218.415283203125,139857845.0
2019-01-28,BBRI.JK,3409.031982421875,3445.39501953125,3409.031982421875,3436.30419921875,2218.415283203125,102940988.0
2019-01-29,BBRI.JK,3436.30419921875,3472.667236328125,3318.12451171875,3354.487548828125,2165.595947265625,206378414.0
2019-01-30,BBRI.JK,3363.578369140625,3418.122802734375,3363.578369140625,3409.031982421875,2200.808837890625,159225000.0
2019-01-31,BBRI.JK,3454.48583984375,3518.12109375,3454.48583984375,3499.939453125,2259.496826171875,277698146.0
2019-02-01,BBRI.JK,3527.2119140625,3572.66552734375,3518.12109375,3563.57470703125,2300.578857421875,154119152.0
2019-02-04,BBRI.JK,3590.84716796875,3590.84716796875,3536.302490234375,3545.393310546875,2288.841064453125,83552603.0
2019-02-05,BBRI.JK,3545.393310546875,3545.393310546875,3545.393310546875,3545.393310546875,2288.841064453125,0.0
2019-02-06,BBRI.JK,3563.57470703125,3581.75634765625,3554.484130859375,3563.57470703125,2300.578857421875,85882773.0
2019-02-07,BBRI.JK,3572.66552734375,3572.66552734375,3536.302490234375,3572.66552734375,2306.44775390625,91233705.0
2019-02-08,BBRI.JK,3509.0302734375,3554.484130859375,3499.939453125,3536.302490234375,2282.972412109375,86321790.0
2019-02-11,BBRI.JK,3536.302490234375,3563.57470703125,3509.0302734375,3518.12109375,2271.23486328125,61147416.0
2019-02-12,BBRI.JK,3545.393310546875,3545.393310546875,3472.667236328125,3499.939453125,2259.496826171875,104459344.0
2019-02-13,BBRI.JK,3536.302490234375,3536.302490234375,3436.30419921875,3445.39501953125,2224.2841796875,119001265.0
2019-02-14,BBRI.JK,3472.667236328125,3499.939453125,3409.031982421875,3454.48583984375,2230.152587890625,131498911.0
2019-02-15,BBRI.JK,3490.848876953125,3490.848876953125,3409.031982421875,3427.213623046875,2212.54638671875,96513687.0
2019-02-18,BBRI.JK,3445.39501953125,3509.0302734375,3445.39501953125,3490.848876953125,2253.628173828125,103030419.0
2019-02-19,BBRI.JK,3545.393310546875,3636.30078125,3527.2119140625,3554.484130859375,2294.709716796875,153943258.0
2019-02-20,BBRI.JK,3554.484130859375,3581.75634765625,3509.0302734375,3536.302490234375,2282.972412109375,136475507.0
2019-02-21,BBRI.JK,3481.758056640625,3581.75634765625,3481.758056640625,3554.484130859375,2294.709716796875,125997166.0
2019-02-22,BBRI.JK,3509.0302734375,3554.484130859375,3509.0302734375,3545.393310546875,2288.841064453125,89872212.0
2019-02-25,BBRI.JK,3581.75634765625,3609.028564453125,3545.393310546875,3599.937744140625,2324.053955078125,117405577.0
2019-02-26,BBRI.JK,3599.937744140625,3609.028564453125,3554.484130859375,3581.75634765625,2312.31640625,67561846.0
2019-02-27,BBRI.JK,3554.484130859375,3563.57470703125,3499.939453125,3518.12109375,2271.23486328125,96869983.0
2019-02-28,BBRI.JK,3499.939453125,3518.12109375,3490.848876953125,3499.939453125,2259.496826171875,117143553.0
2019-03-01,BBRI.JK,3518.12109375,3536.302490234375,3509.0302734375,3518.12109375,2271.23486328125,78576447.0
2019-03-04,BBRI.JK,3545.393310546875,3563.57470703125,3527.2119140625,3527.2119140625,2277.103759765625,62730673.0
2019-03-05,BBRI.JK,3545.393310546875,3545.393310546875,3509.0302734375,3509.0302734375,2265.365966796875,77678611.0
2019-03-06,BBRI.JK,3536.302490234375,3563.57470703125,3509.0302734375,3545.393310546875,2288.841064453125,62160643.0
