ticker,missing_date
BMRI.JK,2024-04-11
BMRI.JK,2024-04-12
BMRI.JK,2024-04-15
BMRI.JK,2024-05-01
BMRI.JK,2024-05-09
BMRI.JK,2024-05-10
BMRI.JK,2024-05-23
BMRI.JK,2024-05-24
BMRI.JK,2024-06-17
BMRI.JK,2024-06-18
BMRI.JK,2024-09-16
BMRI.JK,2024-11-27
BMRI.JK,2024-12-25
BMRI.JK,2024-12-26
BMRI.JK,2024-12-31
BMRI.JK,2025-01-01
BMRI.JK,2025-01-27
BMRI.JK,2025-01-28
BMRI.JK,2025-01-29
BMRI.JK,2025-03-28
BMRI.JK,2025-03-31
BMRI.JK,2025-04-01
BMRI.JK,2025-04-02
BMRI.JK,2025-04-03
BMRI.JK,2025-04-04
BMRI.JK,2025-04-07
BMRI.JK,2025-04-18
BMRI.JK,2025-05-01
BMRI.JK,2025-05-12
BMRI.JK,2025-05-13
BMRI.JK,2025-05-29
BMRI.JK,2025-05-30
BMRI.JK,2025-06-06
BMRI.JK,2025-06-09
BMRI.JK,2025-06-27
BMRI.JK,2025-08-18
BMRI.JK,2025-09-05
TLKM.JK,2017-02-15
TLKM.JK,2017-03-28
TLKM.JK,2017-04-05
TLKM.JK,2017-04-14
TLKM.JK,2017-04-19
TLKM.JK,2017-04-24
TLKM.JK,2017-05-01
TLKM.JK,2017-05-11
TLKM.JK,2017-05-25
TLKM.JK,2017-06-01
TLKM.JK,2017-06-23
TLKM.JK,2017-06-26
TLKM.JK,2017-06-27
TLKM.JK,2017-06-28
TLKM.JK,2017-06-29
TLKM.JK,2017-06-30
TLKM.JK,2017-08-17
TLKM.JK,2017-09-01
TLKM.JK,2017-09-21
TLKM.JK,2017-12-01
TLKM.JK,2017-12-25
TLKM.JK,2017-12-26
TLKM.JK,2018-01-01
TLKM.JK,2018-02-16
TLKM.JK,2018-03-30
TLKM.JK,2018-04-16
TLKM.JK,2018-04-17
TLKM.JK,2018-04-19
TLKM.JK,2018-04-20
TLKM.JK,2018-04-25
TLKM.JK,2018-04-26
TLKM.JK,2018-04-27
TLKM.JK,2018-05-01
TLKM.JK,2018-05-10
TLKM.JK,2018-05-14
TLKM.JK,2018-05-29
TLKM.JK,2018-06-01
TLKM.JK,2018-06-11
TLKM.JK,2018-06-12
TLKM.JK,2018-06-13
TLKM.JK,2018-06-14
TLKM.JK,2018-06-15
TLKM.JK,2018-06-18
TLKM.JK,2018-06-19
TLKM.JK,2018-08-17
TLKM.JK,2018-08-22
TLKM.JK,2018-09-11
TLKM.JK,2018-11-20
TLKM.JK,2018-12-24
TLKM.JK,2018-12-25
TLKM.JK,2018-12-31
TLKM.JK,2019-01-01
TLKM.JK,2019-02-05
TLKM.JK,2019-03-07
TLKM.JK,2019-04-03
TLKM.JK,2019-04-17
TLKM.JK,2019-04-19
TLKM.JK,2019-05-01
TLKM.JK,2019-05-30
TLKM.JK,2019-06-03
TLKM.JK,2019-06-04
TLKM.JK,2019-06-05
TLKM.JK,2019-06-06
TLKM.JK,2019-06-07
TLKM.JK,2019-06-19
TLKM.JK,2019-12-24
TLKM.JK,2019-12-25
TLKM.JK,2019-12-31
TLKM.JK,2020-01-01
TLKM.JK,2020-03-13
TLKM.JK,2020-03-16
TLKM.JK,2020-03-25
TLKM.JK,2020-04-10
TLKM.JK,2020-05-01
TLKM.JK,2020-05-07
TLKM.JK,2020-05-21
TLKM.JK,2020-05-22
TLKM.JK,2020-05-25
TLKM.JK,2020-06-01
TLKM.JK,2020-07-31
TLKM.JK,2020-08-17
TLKM.JK,2020-08-20
TLKM.JK,2020-08-21
TLKM.JK,2020-10-28
TLKM.JK,2020-10-29
TLKM.JK,2020-10-30
TLKM.JK,2020-12-09
TLKM.JK,2020-12-24
TLKM.JK,2020-12-25
TLKM.JK,2020-12-31
TLKM.JK,2021-01-01
TLKM.JK,2021-02-12
TLKM.JK,2021-03-11
TLKM.JK,2021-04-02
TLKM.JK,2021-05-12
TLKM.JK,2021-05-13
TLKM.JK,2021-05-14
TLKM.JK,2021-05-26
TLKM.JK,2021-06-01
TLKM.JK,2021-07-20
TLKM.JK,2021-08-11
TLKM.JK,2021-08-17
TLKM.JK,2021-10-20
TLKM.JK,2021-12-31
TLKM.JK,2022-02-01
TLKM.JK,2022-02-28
TLKM.JK,2022-03-03
TLKM.JK,2022-04-15
TLKM.JK,2022-04-29
TLKM.JK,2022-05-02
TLKM.JK,2022-05-03
TLKM.JK,2022-05-04
TLKM.JK,2022-05-05
TLKM.JK,2022-05-06
TLKM.JK,2022-05-16
TLKM.JK,2022-05-26
TLKM.JK,2022-06-01
TLKM.JK,2022-08-17
TLKM.JK,2023-01-23
TLKM.JK,2023-03-22
TLKM.JK,2023-03-23
TLKM.JK,2023-04-07
TLKM.JK,2023-04-19
TLKM.JK,2023-04-20
TLKM.JK,2023-04-21
TLKM.JK,2023-04-24
TLKM.JK,2023-04-25
TLKM.JK,2023-05-01
TLKM.JK,2023-05-18
TLKM.JK,2023-05-24
TLKM.JK,2023-06-01
TLKM.JK,2023-06-02
TLKM.JK,2023-06-28
TLKM.JK,2023-06-29
TLKM.JK,2023-06-30
TLKM.JK,2023-07-19
TLKM.JK,2023-08-17
TLKM.JK,2023-09-28
TLKM.JK,2023-12-25
TLKM.JK,2023-12-26
TLKM.JK,2024-01-01
TLKM.JK,2024-02-08
TLKM.JK,2024-02-09
TLKM.JK,2024-02-14
TLKM.JK,2024-03-11
TLKM.JK,2024-03-12
TLKM.JK,2024-03-29
TLKM.JK,2024-04-08
TLKM.JK,2024-04-09
TLKM.JK,2024-04-10
TLKM.JK,2024-04-11
TLKM.JK,2024-04-12
TLKM.JK,2024-04-15
TLKM.JK,2024-05-01
TLKM.JK,2024-05-09
TLKM.JK,2024-05-10
TLKM.JK,2024-05-23
TLKM.JK,2024-05-24
TLKM.JK,2024-06-17
TLKM.JK,2024-06-18
TLKM.JK,2024-09-16
TLKM.JK,2024-11-27
TLKM.JK,2024-12-25
TLKM.JK,2024-12-26
TLKM.JK,2024-12-31
TLKM.JK,2025-01-01
TLKM.JK,2025-01-27
TLKM.JK,2025-01-28
TLKM.JK,2025-01-29
TLKM.JK,2025-03-28
TLKM.JK,2025-03-31
TLKM.JK,2025-04-01
TLKM.JK,2025-04-02
TLKM.JK,2025-04-03
TLKM.JK,2025-04-04
TLKM.JK,2025-04-07
TLKM.JK,2025-04-18
TLKM.JK,2025-05-01
TLKM.JK,2025-05-12
TLKM.JK,2025-05-13
TLKM.JK,2025-05-29
TLKM.JK,2025-05-30
TLKM.JK,2025-06-06
TLKM.JK,2025-06-09
TLKM.JK,2025-06-27
TLKM.JK,2025-08-18
TLKM.JK,2025-09-05
